id,title,description,availability,condition,price,link,image_link,brand
svk_0001,Polivitamínico - Supervita Kids,Poderosícimo Polivitamínico Infantil em saborosas Gomas de Pectina.,in stock,new,144.70 BRL,https://supervitakids.com.br/,https://supervitakids.com.br/images/kit-1.png,Supervita
svk_0101,C D e Zinco - Supervita Kids,O Reforço para a imunidade do seu filho em saborosas Gomas de Pectina.,in stock,new,144.70 BRL,https://supervitakidscdzinco.com.br/,https://supervitakidscdzinco.com.br/images/kit-1.png,Supervita
